"created_at","Sku","status_id","title","detail","nickname","customer_id","option_id","entity_id"
"2008-04-13 14:37:39","MA464LL/A","1","Apple has done it again!","The MacBook Pro is Apple's latest notebook and their first with Intel's new attempt at notebook dominance, the Core Duo.  It represents the near peak of current notebook technology in terms of power, making only a few compromises for the sake of a slim profile and a better battery life.  I am a college student who has been lusting over notebooks for the past two years, but with so many choices and every promising notebook seemingly always lacking in an essential area I was paralyzed by indecision (and a lack of funds).  I will be attending Law School next fall and the time has finally come when owning a notebook is no longer an option. Luckily, notebook technology is better than ever, and I finally had some notebooks to choose from that represent nearly everything I have wanted since I first got the idea in my head that I needed one. I have simple needs: gaming capable graphics card, near desktop power, low weight, bright screen, decent battery life, and sweet looks (you know, the basics).

Once I saw the Core Duo I knew the day had arrived and that any laptop I bought was going to have it.  I have to have a laptop before August so that took out waiting for the 64bit Core Duo sequel that is coming out sometime later this year or early next year (Merom).

The notebooks I considered getting were the W3J, the Acer 8204, and the new MacBook Pro from Apple, all top of the line machines which had the Radeon X1600 and the new Core Duo.  The Apple wasn't really an option because the Law School I am attending requires a Windows machine.  The Acer just had too many complaints of a poor screen and other problems, although I know people who are enjoying the machine just fine.  I actually ordered the W3J last week but was dismayed to discover that my preorder wasn't made quite soon enough and I was going to have to wait even longer if I wanted that option.  My preorder was cancelled about 4 days after the announcement of Boot Camp, which was not just a hack, but the promise of an (in the future) officially supported dual boot program.  I'm no fool, and I wasn't going to spit the notebook gods in the face.  I had been given a sign, and 24 hours later I picked up my (educationally discounted at $2,299) brand new MacBook Pro.  This is my first Apple ever, but with the safety net of Boot Camp, I figured the time to dive in was now.","Stephen Lee","","1:5@3:13@2:9","99"
"2008-04-12 03:30:29","cn","1","nice","this is nice","mikey","","1:2@3:13@2:7","98"
"2008-04-11 00:14:14","nine_3","1","her the summary","that's my best review ;-)","lagad","1","","97"
"2008-04-08 00:11:16","1112","1","Amazing","Holy-Moly.","Crazy Pants","","1:5@3:15@2:10","96"
"2008-04-04 20:50:44","VGN-TXN27N/B","1","test","that's a very good product","swisswine","","1:5@3:14@2:9","95"
"2008-04-04 07:28:14","8525PDA","1","I got 'em","I got suspenders with mine","Mr Green Jeans","","1:5@3:14@2:9","94"
"2008-04-03 23:49:19","steve","1","They match my poodle's collar!","Now Sweetums and I are a perfect match!","Toodles","","1:1@3:11@2:6","93"
"2008-04-03 06:47:13","zol","1","It sucks","Its too small.","Dramatic Goefer","","1:2@3:11@2:8","92"
"2008-04-02 09:18:33","MM-A900M","1","great","great phone
with rich features","ashwani","1","1:5@3:14@2:9","91"
"2008-04-01 20:55:22","n2610","1","Sucks ","Sucks","Sucks","","1:1@3:11@2:6","90"
"2008-03-31 16:44:39","M285-E","1","Not Bad","perhaps i should have bought six instead of sixty six","Burt","","1:2@3:13@2:9","89"
"2008-03-31 14:23:41","Rebel XT","1","A little expensive for what you get","To be honest, the quality of the pictures it takes is excellent. But there are other cameras out there that do just a good a job for $100 less.","JohnnyBoy","","1:4@3:12@2:8","88"
"2008-03-30 19:14:06","VGN-TXN27N/B","1","i love this product","i love this product","german","","1:5@3:15@2:10","87"
"2008-03-30 06:58:03","VGN-TXN27N/B","1","A typical Sony product","Review goes here...","chucker","1","1:4@3:14@2:9","86"
"2008-03-28 04:33:06","ana","1","Look good but wow are they expensive for what they are!","These sandalls look good, very photogenenic, but would anybody seriously pay this price for them?","Pete","","1:3@3:11@2:6","85"
"2008-03-28 00:49:45","VGN-TXN27N/B","1","Cool application","This looks very nice I'll have to check out the back end","Nick","","1:4@3:13@2:8","84"
"2008-03-27 19:05:22","ana","1","The best!","Wow!  Amazing shoes if I ever saw ones:  great for those cold, dreary winter months, keep your feet warm and dry!","Jane Austin","","","83"
"2008-03-26 13:32:31","coal_sm","1","Love the shirt and print - but a bit too pricey","I'm a heavy spender of t-shirts and love the quality and prints offered, but the combinded price handling, shipping and item price is very high compared to desigener t-shirts","Dynamo","","1:5@3:13@2:10","82"
"2008-03-23 16:31:37","steve","1","Nice","I particulary liked the stylish color/design implementation of these Pumps.

I look forward to use them on the next Weekend Party!","Diane","","1:4@3:15@2:9","81"
"2008-03-22 22:20:12","ecco","1","These shoes rock","I was walking down the street one day, and I looked down at these shoes and thought, ""these are so great.""","Joe","","1:4@3:13@2:10","80"
"2008-03-21 18:33:56","nine_3","1","Increased my profit margins by 15%","These shoes are great....I was in so much demand with my usal tricks...I could put my prices up by 15%... These shoes will definitely work wonders on your  Supply and Demand curve on your local turf :)","Lady of the night","","1:5@3:15@2:10","79"
"2008-03-19 22:27:53","ana","1","Mega shoes","I like it ...","Tester","1","1:5@3:15@2:10","78"
"2008-03-19 00:40:18","VGN-TXN27N/B","1","This notebook is great","This very high quality notebook great for office and business applications. ","tane","","1:5@3:14@2:10","77"
"2007-09-01 15:52:54","VGN-TXN27N/B","1","Excellent quality","The Sony producs have alway had an excellent quality and value.","Dr. Gish","","1:5@2:9@3:13","76"
"2007-09-01 12:54:58","ana","1","very cool","I love these","ilja","","1:1@2:6@3:11","75"
"2007-09-01 05:31:23","coal_1","1","Amazing","What a cool shirt, i wear it everyday","Me","","1:5@2:9@3:14","74"
"2007-09-01 01:56:36","ana","1","Good shoes","great look, solid design","Terry","","1:5@2:10@3:15","73"
"2007-08-31 17:11:41","coal_sm","1","Greattt","Very good product !","Moimeme","","1:4@2:9@3:15","72"
"2007-08-31 14:11:44","1111","1","Looks Good","Looks good and nice. Highly recommended ;)","devx","","1:5@2:10@3:15","71"
"2007-08-31 14:08:15","1114","1","This ist great - Love the style","I`ve been looking for such a couch for months now I've found it!","JBrunner","1","1:5@2:9@3:14","70"
"2007-08-31 14:07:13","4fasd5f5","1","Nice","very coll design","dimsal","","1:4@2:7@3:14","69"
"2007-08-31 13:41:07","384822","1","nice deal","made my living room looks great again","lopsta.com","","1:5@2:8@3:11","68"
"2007-08-31 13:28:56","nine_3","1","Top of the top","I've been wearing these shoes since 1912 and believe me, they're hot !","Didier","","1:4@2:9@3:15","67"
"2007-08-31 13:27:17","VGN-TXN27N/B","1","not bad","yeah it's alright I suppose","ryhrhrh","","1:4@2:8@3:13","66"
"2007-08-31 13:06:10","VGN-TXN27N/B","1","Solid Laptop","Expensive but solidly built laptop","Tommy","1","1:5@2:8@3:12","65"
"2007-08-31 12:44:35","ken","1","Kenneth Cole Slip Ons are a good choice for Work","I dont like them personally
","Zapateria","","1:3@2:9@3:13","64"
"2007-08-31 12:29:09","nine_3","1","These look great","I was the hottest drag model at the show","Johnny","","1:5@2:9@3:15","63"
"2007-08-31 12:10:10","LX.FR206.001","1","sounds great","what a great laptop!","Joe","1","1:5@2:10@3:15","62"
"2007-08-31 09:39:21","VGN-TXN27N/B","1","Light-weight small laptop","Sony VAIO TX serie is amazing light-weight laptop that I've ever seen it. But TZ is lastest and lighter than TX series.","Tarzan","1","1:4@2:9@3:13","61"
"2007-08-29 20:02:17","nine_6","1","I wear these as I walk down the Boardwalk","Sexy shoes that always draw attention to my legs...  ","Fransisco","1","1:3@2:9@3:15","60"
"2007-08-29 19:57:44","steve","1","Sexy affordable shoes!","These a very sexy comfortable shoes...  buy them and go out dancing!","Lady Jazz","1","1:4@2:9@3:14","59"
"2007-08-29 19:54:28","ken","1","All around comfort","these are great - whether in the office or a stroll to the store...  wear these everywhere","Bret","1","1:4@2:8@3:13","58"
"2007-08-29 19:52:24","ecco","1","Great shoes, but a little expensive!","These are great...  very comfortable.  But a little expensive","Best Golfer Ever","1","1:3@2:9@3:13","57"
"2007-08-29 19:47:33","cn","1","My Party Shoes","So comfortable i were them when I go out.  Whether your dancing or working in the garden, these are the perfect shoe!","J Mo","1","1:4@2:10@3:13","56"
"2007-08-29 19:44:17","zol","1","Makes me relive my rocker days!!!","The cat kind of looks like me...  Great quality shirt at a good price...","Tetris","1","1:5@2:10@3:15","55"
"2007-08-29 19:40:20","ink","1","A little see thru","The shirt is a little transparent but is extremely comfortable.
One of my favorite shirts!","Linda","1","1:4@2:9@3:14","54"
"2007-08-29 19:37:46","coal_1","1","Comfortable!!!","This is the most comfortable shirt I own...  I will buy many of these shirts","Essentl","1","1:4@2:8@3:14","53"
"2007-08-28 23:34:06","1113","1","Great inexpensive Couch","I love this couch...  extremely comfortable and easy to clean
","Toish","1","1:4@2:9@3:13","52"
"2007-08-28 23:31:42","750","1","Good Camera","    	
77 of 82 people found the following review helpful:
Good Camera, October 11, 2006
By 	Steve (FL) - See all my reviews
Got it yesterday. In green. Actually it's a shiney yellowish-green. Nice feel. Fits well in shirt pocket. Very light; particullarly compared to my Pentax Optio 550. Good, nice size LCD. Easy to use yet with nice availability of choices for customization. Well written manual (you can find online thru google) and onboard help menu. Photos come out fairly nice. Tried indoors in low light with several scene settings, outdoors, macro, and supermacro. Colors look true, fairly sharp without noticable artifact. Used in South Florida morning daylight outside without any trouble with LCD viewing (camera has no classic viewfinder). Have read reviews of washout in bright sun: have not tried that yet. Overall, I'm happy with the camera thus far. ","Jenella","1","1:4@2:10@3:13","51"
"2007-08-28 23:29:57","A630","1","Amazing camera value!","This is one of those nice cameras that's so well done, it's easier to talk about what the camera ISN'T, rather than what it IS! This camera is not a small, shirt pocket camera, and might be a bit bigger than a woman would wish to carry in a purse. It's not a super-tele camera, but it does have a respectable, bit longer than average 4x optical zoom. ","Juan","1","1:5@2:10@3:14","50"
"2007-08-28 23:28:35","C530","1","great for everyday use","I purchased this camera a few months ago because I like to have a camera on hand always. My DSLR and 35 mm SLR cameras are too bulky for everyday. The price and MPs were right, as well as the small size which fits into the clean pockets of any of my purses- no need to worry about lens scratch. For those who don't carry a purse and are concerned about the lens, a very small case will do the trick. The images are clean although I've only printed up to 8.5 X 11 so far.","Stull","1","1:2@2:9@3:13","49"
"2007-08-28 23:06:56","MA464LL/A","1","I can't believe they still make PC's....","These Mac's are so much better than PC's it's unbelievable!!!   Obviously designed for the user...  less clicks to get to everything.  amazing!!!","Terry Ferguson","1","1:5@2:10@3:14","48"
"2007-08-28 22:07:23","1111","1","I love this Ottoman","Best Ottoman ever!!!!","Terry Ferguson","1","1:4@1:4@2:4@3:4","47"
"2007-08-28 21:38:11","ana_9","1","These are the best sandals!","They were delivered really quickly and are just what I was expecting. The are great quality and so comfortable!","Jenna","1","1:5@2:5@3:5","46"
"2007-08-28 18:45:01","ana_9","1","great, comfy flip flops!","Very comfortable flip flops! I wear a size 10-11 and the ""extra-large"" was too small. Most stores don't carry the 10 or 11 (beyond extra-large) but I was able to find them on Amazon. Don't give up if you need a bigger size than the extra-large!","Erika","1","1:3@2:3@3:3","45"
"2007-08-28 16:40:25","Rebel XT","1"," The best thing I've ever bought","The XT is amazing. The battery comes partly charged so you can immedietly start using the camera (thank you Canon!) I've already shot about 200 pictures with it and the battery hasn't died yet.




","Al","1","1:5@2:5@3:5","44"
"2007-08-28 16:39:40","Rebel XT","1"," Another stunning winner from the bright minds at Canon","I spent three hours yesterday playing with the brand-new Canon Digital Rebel XT digital SLR camera, and man, was I impressed.

I hadn't been too impressed with the original Digital Rebel, except for its revolutionarily low price (for a d-SLR), because it was slow and felt slimsy. The new DR XT is quite different. Even though it's 3 ounces lighter than the original DR -- mostly due to the use of a smaller battery; see below -- its smaller form factor actually makes it feel more solid and ""real"". In other word, unlike the original DR, this one feels professional, not toy-like at all.


","Mira","1","1:4@2:3@3:3","43"
"2007-08-27 21:07:02","bar1234","1"," Excellent!"," Excellent wood bed and drawer set.  Excellent value, fast shipping and a quality product. Awesome! ","David","1","1:5@2:4@3:3","42"
"2007-08-27 21:05:48","bar1234","1"," its a modern bed!","actually my bf and i we were looking for a king size bed..when i saw this bed it was beautiful and thats the color i like and also its a modern style....
","Gertrude","1","1:4@2:3@3:5","41"
"2007-08-27 21:02:45","384822","1","Buy this now!!!","This is a beautiful dresser with a rustic feel","Juan","1","1:4@2:4@3:3","40"
"2007-08-27 21:01:53","384822","1","Pretty Nice","This is great looking and functional dresser.  I love it.","matt","1","1:3@2:3@3:3","39"
"2007-08-27 20:47:44","4fasd5f5","1"," !!!!!!","this is exactly what i wanted from a sweatshirt.

it has a tight figure with a full sized hood
and its really warm and comfortable. ","Sanchez","1","1:5@2:4@3:3","38"
"2007-08-27 20:46:21","ken_8","1","Top leather scuffed on first wear","The shoes look and wear great. However, the leather is pretty weak. I think I must have kicked a table leg or something on my frist outing in them. Now the tip of my left shoe has a quarter-size scuff on it. I will have to try to cover it up by oiling it. Obviously I don't think this pair will last long at all.","Lian","1","1:4@2:3@3:3","37"
"2007-08-27 20:45:54","ken_8","1"," Great Purchase. Best value and very comfortable,","I purchased a pair and have been using it everyday from the past six months. The shoes are very comfortable and look very professional. Love them.","Arun","1","1:3@2:3@3:3","36"
"2007-08-27 20:43:22","ecco_3","1","womens golf shoes","These shoes are my first pair of golf shoes.I have bad feet and wear orthotics so I really wanted a pair of shoes that would feel great on my feet. These are really nice and are a great price for this brand.","Moqilka","1","1:3@2:4@3:3","35"
"2007-08-27 20:42:47","ecco_3","1","Comfortable, good-looking","This is a sharp-looking shoe that is very comfortable for walking and provides a good alternative to the traditional, boring ""golf shoe.""
","Kathryn","1","1:3@2:3@3:3","34"
"2007-08-27 20:42:27","ecco_3","1"," lite golf shoe","nice shoe. A little tight in the width","Tippy","1","1:3@2:3@3:3","33"
"2007-08-27 20:40:56","nine_3","1","Classic and Cute","This shoe is comfortable and the way the front of the shoe is cut makes it a little more interesting.....","Vanessa","1","1:3@2:3@3:3","32"
"2007-08-27 20:38:21","steve_4","1","Good, Sexy Shoe","These shoes are beautiful, the bright ruby red color complimented by outfit nicely. It did take some breaking in but after which they were as comfortable as pumps can get.","Shoes!!!","1","1:3@2:4@3:4","31"
"2007-08-27 20:37:39","steve_4","1","Love the look and was comfy for heels!","Would give them 5 stars if not for the toe cleavage issue. Loved them enough to keep them though. Very cute!","Shoe Lover","1","1:3@2:3@3:3","30"
"2007-08-27 20:35:03","cn_3","1"," Beach Clogs,","I received these today in the mail and am pleased with the way these feel on my feet,they are so comfortable and so easy to slide on.","Laurie","1","1:2@2:4@3:3","29"
"2007-08-27 20:33:59","cn_3","1","Inexpensive and very light weight clog","This clog was inexpensive compared to crocs, but I found it did not fit my foot very well. It is, however, very light weight and would otherwise be comfortable. It is also not very attractive. I would not wear this one anywhere but my own yard for gardening, etc.","Loren","1","1:3@2:3@3:3","28"
"2007-08-27 20:30:12","zol_r_sm","1"," Well made, affordable. . .you can't go wrong!","I am very hard on my t-shirts, and therefore, I need the best quality t-shirt on the market. I've tried them all (except Hanes).  Durable, strong, and surprisingly flattering to those of us lugging around a spare tire, if you get my drift.","Mike","1","1:5@2:2@3:3","27"
"2007-08-27 20:26:54","oc_sm","1","Great, affordable product","These tee shirts are generously cut, hold their color, stand up to repeated washings and are very comfortable. In addition, they are comfortable, extremely affordable and maintain their shape. I highly recommend them.","Patrick","1","1:3@2:3@3:3","26"
"2007-08-27 20:25:51","oc_sm","1","Perfect Cotton Feel","My friend really liked the Tee shirt.he did'nt think that I would be able to get it in his size but I was able to.I really made my friends day when I told him that I was able to find the tee shirt in the size he wanted.","Adam","1","1:3@2:3@3:3","25"
"2007-08-27 20:22:24","oc_sm","1","excellent","The T-shirt is a very good one. its comfortable and easy to wash, doesn't even soften the cloth when washed daily. i love it and good stuff","A Review","1","1:4@2:2@3:3","24"
"2007-08-27 20:20:11","ink_sm","1","Extremely Comfortable!!!","i love this T-shirt
the quality is nice
and it's very soft without tag

i bought the white one
it can be see through just like other custom's review.

also i think their size small is a little bigger than other brand
but it's not a big deal though! ","Robin","1","1:4@2:4@3:3","23"
"2007-08-26 21:58:49","coal_sm","1","Love it!!! get it!!!","You got to have one of these they come in green","yochan","1","1:5@2:4@3:3","22"
"2007-08-26 20:14:43","M285-E","1","Solid and reliable","At first, I wasn't terribly impressed. I had been accustomed to working
with a Toshiba Protege M405 at home and when I purchased the Gateway for
exclusive use at the office, my initial impression of the machine when
I put it into action was noticeably lacking in enthusiasm or excitement.

I've since come to appreciate this notebook for something much more
impressive that I couldn't gauge out of the box, and that was its
amazing reliability and performance over time.

This machine is solid. It does not crash.

","Mendez","1","1:4@2:4@3:4","21"
"2007-08-26 20:11:48","VGN-TXN27N/B","1","Sleek compact design for business travelers on the go.","I waited to get this notebook loaded with Vista. I have mixed feelings. The notebook hardware design is quite sleek and handsome. I am not so impressed with Vista running on this machine though. It just feels that Vista is a resource hog and is constantly running the CPU at 100% which causes the fan to run endlessly. I think the issue is that Sony used the same hardware specs as the previous TX series just to get a Vista version out quickly, but it really is not equipped to handle the new Vista OS as well. So I was disappointed when I upgraded to this notebook thinking that it would run faster, but actually it runs slower than my previous Vaio running Win XP. Though there are some improvements with Vista over XP, Vista probably runs better on a Duo Intel chipset than the Solo that is used in this notebook. The poor notebook is contantly working overtime just to do very simple normal every day applications and it takes forever to start up or reboot. If you just base it on looks alone, then it gets a 4 start rating.","Steven","1","1:3@2:3@3:3","20"
"2007-08-26 20:11:21","VGN-TXN27N/B","1","Vision of Vaio...","If you're buying this laptop, it's undoubtedly partially for the design, style and lightweight features of the TX series. You can get cheaper, better performing options at about the same weight, but it won't have the ""wow"" factor of this TXN27N. That being said let's get right into the pros and cons.

As a side note, if you're wondering about differences between the 25,27, 29 TX models, it's pretty straightforward. The 25 has 1GB RAM and 80GB hard drive, the 27 has 2GB RAM, 100 GB hard drive, the 29 is the same as the 27 except it comes with a carrying case and the exterior has a sleek special shiny coating. IMO, the 27N is the best value among the 3 when you look at the price points.

","Chen","1","1:3@2:3@3:3","19"
"2007-08-26 20:08:25","LX.FR206.001","1"," Not happy at all","I purchased the Red Ferrari Laptop and had nothing but problems form the start. I was supposed to get a free matching mouse, when I received the mouse it looked two years old. When I got laptop working the wrist rest pad right next to the mouse pad was heating up to an uncomfortable level. When I notified PCmode, the supplier of the laptop, they agreed to replace it with another laptop. When I asked if it had the same problems, they told me it headed up as all laptops heat up. The agreed to replace the laptop with another laptop but with a 50% lesser value than the one I purchased.

I will never buy from these people again... ","Cappello","1","1:3@2:3@3:3","18"
"2007-08-26 20:07:51","LX.FR206.001","1","It's worked phenominally for me so far...","Fortunately, the computer worked and worked well from the start for me. The performance is phenomenal, the craftsmanship and style are only slightly short of amazing. (sturdy and stylish, but heavy and heats up quickly.) I hope I never have to deal with customer service but the product performs. The worse thing is that if you have it set to use full power all of the time you get maybe an hour and a half of battery time. Still like my PowerBook better though.","Next","1","1:3@2:3@3:3","17"
"2007-08-26 19:57:30","MA464LL/A","1"," The Fastest Mac Notebook Ever","It's the most stunning idea, isn't it? This top of the line MacBook Pro is the fastest Mac Notebook ever, and probably one of the fastest Macs period.

When Steve Jobs announced the new Macs, with Intel Core Duo processors I was almost certain I wanted to buy one. Why? Macs are well known for ease of use and capabilities, but they have managed all that for years, with processors that are not always top-notch. That all changed in January 2006.

","Stephen","1","1:5@2:5@3:3","16"
"2007-08-26 19:32:56","n2610","1","Great phone - unless you are outside or in the car","I only needed a basic phone - no MP3, camera, or FM radio. This phone delivered with great reception, good sound quality, great battery life, and a very small size. Inside a building it works great. Why the low score? The tinted plastic over the display makes it impossible to see the display outdoors and in the car. If the sun is out, forget it! I even managed to figure out how to remove all of the wallpaper backgrounds and to maximize the contrast. Still, don't plan to use this outdoors. Nokia should recall this product to replace the tinted cover. Update: Yesterday this phone took was accidently dropped onto a very hard ceramic tile floor and it still works perfectly! A similar drop ended the life of my digital camera a few months ago. So, if I were to rate this cell phone now I would give it 3 stars, maybe even 4 stars. I like reliable, sturdy stuff and this cell seems to be unusually well made.","Sheridan","1","1:4@2:4@3:3","15"
"2007-08-26 19:29:16","MM-A900M","1","MJS","Yeah it looks cool, but it's got terrible sound quality, even with an ear-piece. Additionally, they've crammed a lot of stuff into the menus that would probably be desirable to some people, but if you don't want it, it's just more junk to have to navigate through.","Looks can be deceiving","1","1:3@2:3@3:3","14"
"2007-08-26 19:28:40","MM-A900M","1"," A crippled cell phone","1, you can not synchronize the phonebook with your PC in a convenient way. I had to code a program to generate single vcard files and send them over bluetooth ONE BY ONE. There seems to be no way to do it without bluetooth.

2, you can not apply mp3 files as ringtones. However you can download mp3/aac ringtones from sprint (for a fee). Oh the original ringtones that came with the phone? They are just awful.

","bessel","1","1:4@2:4@3:3","13"
"2007-08-26 19:28:11","MM-A900M","1","Fouch","I wouldn't normally write a review, but everyone is giving this phone a bad rap.. I think people that buy into those reviews are getting cheated out of an excellent phone. I've know several people with Razors that ALL like this much much better. The battery life is absolutely fine, and my phone is on vibrate all day. Maybe other reviewers are on the phone constantly on full blast playing mp3s and shooting video.. I don't get it. I've had this phone the better part of a year and never ran out of charge during the day. I plug it in at night. I work as an architect and am on the phone all day long and beat the living hell out of it.. which is another huge plus about this phone. It has a *sturdy* metal housing.. not thin toy crap a la razors or plastic like most phones. I don't do a lot of bluetooth, computer syncing, etc, just use the phone in a fairly conventional way, with regular camera use, and for that it is *easily* far and away the best phone I've ever owned.","solid phone","1","1:4@2:4@3:3","12"
"2007-08-26 19:19:19","bb8100","1","Sweet!","What I love:
============
- Form factor: It is beautiful, it is cute and catchy! It turns heads. Enough said.
- Size: Size is one of the strongest points considering all it does. It neatly slips into a shirt pocket or sits well on the belt.
- Keys: Could be a bit small but I could use it pretty easily though my fingers are bordering on 'butterfingers'.
- Trackball: Awesome! Just don't press it too hard while using it. Just 'roll-it'!. It is great while you have to move around the screen from control to control
- Voice-dialing: Has worked for me very well the 10 or so times I have tried in my van on the road and off. You have to first choose the voice dialing option from the list of icons on the main menu. I read you can ","Ashwini","1","1:4@2:4@3:3","11"
"2007-08-26 19:06:40","8525PDA","1","Worth the upgrade!!!","I've had this phone now for 2 weeks and it has met all of my expectations and exceeded them even. I upgraded from the 8125 and just about everything is a huge improvement!
The 3G(UMTS) is very impressive with it's speed. I even use this phone as a modem on my home pc and it's nearly identical in speed as DSL when surfing the net or downloading file/music etc.
Camera is very impressive with clear resolutions for a camera phone with the 2MP.
I also use a bluetooth headset 2.0 with this and mine works wonderfully with sony erriccson; it's quite intuitive and picks up the signal instantly. The 'blackberry' scroll wheel is a huge plus on this phone and I find myself using this feature more than any other buttons. ","Armstrong","1","1:3@2:3@3:3","10"
"2007-08-26 19:00:33","sw810i","1"," Ultimate Cell Phone","Wow....What a great cell phone. I really like.....no no.....LOVE this Phone. The Functions and usability of this one are too cool. The MP3 Player palys nice with good user interface. The 2.0 MP Camera is very good, I have stopped taking my Digi Cam to my trips. I never have anytype of problem during the phone call. So considering the +ve points, I truly recommend it to any one.","Ananda","1","1:3@2:4@3:3","9"
"2007-08-26 19:00:08","sw810i","1","Awesome Phone","The phone is awesome. Fully Loaded & sounds really great, camera is also good.2MP.
Excellent!!! ","Panda","1","1:3@2:3@3:3","8"
"2007-08-26 18:59:23","sw810i","1","Great all around phone","Hello all. Just received my phone a few days ago, was super fast shipping using the 2 day shipping option (which by the way is free!! So make sure you select that, as the discount is only shown when you are about to place the final purchase). Luckily I ordered my phone right before the phone was about in low stock.
PHONE: So can't really complain about much of anything. Phone has really intuitive interface, very easy to navigate as the arrow keys all function as shortcuts (to calls, file folders, aim, etc..). The walkman button is very convenient as it leads right to the music player. ","John Johnson","1","1:3@2:3@3:3","7"
"2007-08-25 19:33:12","asc_8","1","It's a pitty they don't have large sizes","You wont believe it, my show size is 13 so it's impossible for me to get a new pa","Seba's","1","1:3@2:3@3:3","6"
"2007-08-25 19:13:42","MM-A900M","1","Not an i-phone","cest ci nest pas une i-phone.","Udini","1","1:3@2:3@3:3","5"
"2007-08-25 19:07:26","coal_sm","1","chics dig ribs","Ever since buying this shirt chics cant take their hands off me. I don't know what it is it must be sprayed with axe - the seductive body spray for men. I'm the last one to believe commercials but I tell you you won't regret buying this shirt. I ordered it n every color.","udini","1","1:3@2:3@3:3","4"
"2007-08-25 19:03:22","ink_sm","1","Cute, but see through","Cute design, but material is too thin.","Natashenka","1","1:3@2:3@3:3","3"
"2007-08-25 16:53:30","8525PDA","1","I feel strange holding a television to my head","I feel strange holding a television to my head.  This product should come with free suspenders","Starbuck","1","1:3@2:4@3:3","2"
"2007-08-25 15:09:12","coal_sm","1","I love this shirt!","This shirts if really great. Especially with the spinal diagram, finally I can see myself for who I really am! ","Sandra Doe","1","1:3@2:3@3:3","1"
